skills,interests,education_level,years_experience,certifications,projects,target_career
"react, html, databases, api, css, node.js","building websites, backend systems",PhD,0,In Progress,portfolio website,Web Developer
"css, node.js, databases, api, react, javascript, html","building websites, backend systems, frontend development, ui design",Self-Taught,10,In Progress,chat application,Web Developer
"deep learning, pandas, statistics, machine learning, nlp, sql","building models, solving complex problems, analyzing data, ai research",PhD,10,None,sentiment analysis,Data Scientist
"prototyping, sketch, wireframing","user testing, user interface, visual design, design capability",Bachelor,6,Certified,mobile app design,UX Designer
"analytics, market research, agile","product strategy, leading teams",Master,7,None,user research,Product Manager
"java, c++, python, system design, algorithms, git, data structures","backend logic, coding, optimizing performance",Bachelor,5,In Progress,scalable system,Software Engineer
"api, databases, html, javascript","building websites, ui design, frontend development, backend systems",Bachelor,2,Certified,chat application,Web Developer
"analytics, roadmapping, market research, agile, communication","leading teams, business growth, user experience",Self-Taught,0,Certified,user research,Product Manager
"prototyping, sketch, figma","visual design, user testing, user interface, design capability",Self-Taught,6,Certified,website redesign,UX Designer
"css, react, databases, node.js, html","ui design, backend systems",PhD,8,Certified,chat application,Web Developer
"system design, python, c++, git, data structures","software architecture, coding, optimizing performance, backend logic",PhD,3,Certified,algorithm visualizer,Software Engineer
"user research, sketch, adobe xd","design capability, user interface, user testing",PhD,1,None,website redesign,UX Designer
"algorithms, python, git","optimizing performance, backend logic, coding, software architecture",Master,8,In Progress,scalable system,Software Engineer
"deep learning, python, numpy, statistics, sql, pandas, nlp, machine learning","analyzing data, solving complex problems",Master,9,Certified,sentiment analysis,Data Scientist
"numpy, sql, pandas","building models, analyzing data, solving complex problems",Master,4,In Progress,image classification,Data Scientist
"api, react, databases, html, javascript, css, node.js","frontend development, building websites",Bachelor,0,None,portfolio website,Web Developer
"node.js, javascript, react","backend systems, ui design, building websites",Bachelor,3,In Progress,e-commerce site,Web Developer
"analytics, agile, scrum, roadmapping, communication","user experience, product strategy, leading teams",Master,6,None,product launch,Product Manager
"sketch, figma, wireframing, prototyping, adobe xd","design capability, visual design, user interface",PhD,9,None,mobile app design,UX Designer
"sketch, prototyping, adobe xd, wireframing, user research","user interface, user testing",Self-Taught,10,In Progress,website redesign,UX Designer
"nlp, machine learning, pandas, numpy, sql","ai research, building models",Self-Taught,0,In Progress,customer churn prediction,Data Scientist
"adobe xd, user research, figma, wireframing, sketch","visual design, user testing, user interface",PhD,2,In Progress,website redesign,UX Designer
"deep learning, machine learning, statistics, sql, pandas","solving complex problems, analyzing data",PhD,4,In Progress,sentiment analysis,Data Scientist
"analytics, scrum, market research","business growth, product strategy, user experience, leading teams",Bachelor,4,In Progress,market analysis,Product Manager
"roadmapping, communication, agile, market research","user experience, product strategy, business growth, leading teams",Bachelor,1,Certified,user research,Product Manager
"c++, python, system design, java, git, algorithms, data structures","coding, optimizing performance, software architecture",Master,6,Certified,algorithm visualizer,Software Engineer
"pandas, python, numpy, deep learning, statistics, nlp, sql","solving complex problems, building models",Master,4,None,customer churn prediction,Data Scientist
"user research, figma, prototyping","design capability, visual design, user interface, user testing",Master,6,Certified,user flow diagram,UX Designer
"python, data structures, c++, algorithms","optimizing performance, backend logic, software architecture, coding",Bachelor,1,None,desktop application,Software Engineer
"data structures, python, c++, system design, git, java, algorithms","optimizing performance, coding, software architecture, backend logic",Self-Taught,8,None,scalable system,Software Engineer
"analytics, agile, communication, roadmapping, scrum","business growth, product strategy",PhD,0,None,market analysis,Product Manager
"system design, java, data structures, c++, algorithms, git, python","software architecture, backend logic, coding, optimizing performance",Self-Taught,1,In Progress,desktop application,Software Engineer
"javascript, databases, api, html, react, node.js","backend systems, building websites, ui design, frontend development",Bachelor,4,Certified,portfolio website,Web Developer
"python, nlp, sql, numpy, pandas, statistics, deep learning","solving complex problems, analyzing data, ai research",PhD,7,Certified,image classification,Data Scientist
"pandas, numpy, deep learning, machine learning, statistics, python, sql, nlp","analyzing data, solving complex problems",Bachelor,0,In Progress,sentiment analysis,Data Scientist
"agile, analytics, scrum, communication, market research, roadmapping","user experience, business growth, product strategy",Self-Taught,6,Certified,user research,Product Manager
"system design, data structures, git, c++, python, java, algorithms","software architecture, backend logic, coding",Bachelor,7,None,scalable system,Software Engineer
"databases, node.js, api, html","backend systems, frontend development, ui design, building websites",PhD,1,Certified,e-commerce site,Web Developer
"java, c++, python","backend logic, optimizing performance, coding",Self-Taught,10,Certified,algorithm visualizer,Software Engineer
"api, node.js, react, html, css, javascript, databases","building websites, ui design, frontend development, backend systems",Self-Taught,4,In Progress,chat application,Web Developer
"system design, data structures, java, c++, algorithms","coding, software architecture, optimizing performance, backend logic",Self-Taught,4,Certified,desktop application,Software Engineer
"scrum, roadmapping, communication, agile, market research, analytics","product strategy, user experience, business growth",Master,4,None,product launch,Product Manager
"system design, data structures, c++, algorithms, python","optimizing performance, software architecture",Master,5,None,desktop application,Software Engineer
"user research, prototyping, sketch, figma, wireframing, adobe xd","user testing, user interface, design capability",Master,9,In Progress,user flow diagram,UX Designer
"roadmapping, analytics, agile, scrum","product strategy, business growth, user experience, leading teams",Master,8,In Progress,user research,Product Manager
"user research, wireframing, prototyping","visual design, user testing, user interface",PhD,1,In Progress,website redesign,UX Designer
"figma, wireframing, user research, prototyping, sketch","user interface, visual design, design capability, user testing",Self-Taught,9,Certified,mobile app design,UX Designer
"analytics, roadmapping, communication, agile, market research","leading teams, product strategy, user experience",Self-Taught,8,In Progress,user research,Product Manager
"c++, git, java, algorithms, system design, data structures","optimizing performance, coding, backend logic",Master,7,In Progress,desktop application,Software Engineer
"python, machine learning, statistics, nlp, sql, numpy","ai research, analyzing data, building models, solving complex problems",Master,1,None,sentiment analysis,Data Scientist
"css, react, node.js, javascript, api, databases","backend systems, frontend development, building websites, ui design",Master,8,Certified,e-commerce site,Web Developer
"api, react, html, node.js, databases, css, javascript","frontend development, backend systems, ui design, building websites",Master,10,Certified,chat application,Web Developer
"prototyping, wireframing, figma, adobe xd","design capability, user testing, user interface",Master,1,In Progress,user flow diagram,UX Designer
"agile, analytics, communication, scrum, market research, roadmapping","product strategy, leading teams, user experience, business growth",PhD,1,In Progress,market analysis,Product Manager
"statistics, python, deep learning, pandas, sql, nlp, machine learning, numpy","building models, analyzing data",Master,5,Certified,customer churn prediction,Data Scientist
"python, java, algorithms","coding, optimizing performance, backend logic",Master,4,Certified,desktop application,Software Engineer
"statistics, python, deep learning, pandas, nlp, numpy, sql, machine learning","building models, ai research, analyzing data, solving complex problems",Bachelor,8,Certified,sentiment analysis,Data Scientist
"javascript, css, databases, react, html, api, node.js","ui design, backend systems, building websites",PhD,10,Certified,portfolio website,Web Developer
"c++, java, system design, git, data structures","software architecture, coding, backend logic, optimizing performance",Self-Taught,2,None,desktop application,Software Engineer
"java, system design, data structures, git, c++","backend logic, software architecture",Bachelor,9,Certified,desktop application,Software Engineer
"figma, user research, adobe xd, prototyping, wireframing, sketch","design capability, user testing, visual design",PhD,2,None,user flow diagram,UX Designer
"algorithms, data structures, python, java","backend logic, software architecture",Bachelor,10,In Progress,desktop application,Software Engineer
"analytics, communication, scrum, agile, market research, roadmapping","product strategy, business growth, leading teams",Bachelor,4,None,market analysis,Product Manager
"numpy, machine learning, statistics, pandas, sql, deep learning","building models, analyzing data, solving complex problems, ai research",PhD,0,None,sentiment analysis,Data Scientist
"system design, c++, git, java","backend logic, software architecture",PhD,1,In Progress,algorithm visualizer,Software Engineer
"java, algorithms, system design, c++","optimizing performance, backend logic",PhD,7,Certified,algorithm visualizer,Software Engineer
"java, python, c++","software architecture, backend logic, coding, optimizing performance",Bachelor,7,Certified,algorithm visualizer,Software Engineer
"git, algorithms, data structures, system design","backend logic, software architecture",Master,5,None,desktop application,Software Engineer
"wireframing, figma, sketch","user interface, visual design",Bachelor,6,Certified,mobile app design,UX Designer
"css, api, html","ui design, backend systems",PhD,0,None,chat application,Web Developer
"python, sql, machine learning, nlp, numpy, deep learning, statistics","solving complex problems, building models, analyzing data, ai research",Bachelor,8,None,sentiment analysis,Data Scientist
"git, java, c++, data structures, algorithms, python, system design","software architecture, optimizing performance, backend logic",Master,7,Certified,desktop application,Software Engineer
"machine learning, sql, nlp, statistics","analyzing data, solving complex problems, ai research, building models",Bachelor,7,Certified,image classification,Data Scientist
"html, databases, api, react","frontend development, backend systems, ui design",Bachelor,10,In Progress,chat application,Web Developer
"system design, c++, git, python, algorithms","coding, software architecture",Self-Taught,1,None,algorithm visualizer,Software Engineer
"node.js, css, html, databases, api","backend systems, ui design",Self-Taught,5,Certified,chat application,Web Developer
"python, git, data structures, java, algorithms, c++","backend logic, software architecture",Self-Taught,4,None,desktop application,Software Engineer
"figma, adobe xd, prototyping, user research","visual design, design capability, user interface",PhD,0,In Progress,user flow diagram,UX Designer
"roadmapping, agile, communication, analytics, scrum","product strategy, leading teams",Self-Taught,2,Certified,market analysis,Product Manager
"databases, node.js, api, html, css, react","building websites, ui design",PhD,3,Certified,portfolio website,Web Developer
"react, javascript, html, databases","ui design, building websites, backend systems",Self-Taught,6,None,e-commerce site,Web Developer
"agile, scrum, analytics, communication, roadmapping","business growth, product strategy",Master,2,Certified,market analysis,Product Manager
"prototyping, sketch, figma, user research","visual design, user interface, design capability, user testing",Self-Taught,3,None,website redesign,UX Designer
"node.js, javascript, react, html, css, api, databases","ui design, building websites, frontend development, backend systems",Master,3,In Progress,e-commerce site,Web Developer
"algorithms, c++, data structures, java, git","backend logic, optimizing performance, coding",Master,10,Certified,desktop application,Software Engineer
"communication, agile, scrum, roadmapping","product strategy, user experience",Bachelor,0,In Progress,product launch,Product Manager
"analytics, market research, agile, communication, scrum, roadmapping","user experience, business growth",Self-Taught,3,None,product launch,Product Manager
"user research, wireframing, figma","visual design, design capability",Master,9,In Progress,mobile app design,UX Designer
"numpy, python, deep learning, machine learning, pandas, statistics, nlp","analyzing data, ai research, building models",PhD,8,In Progress,sentiment analysis,Data Scientist
"market research, roadmapping, scrum","leading teams, product strategy, business growth",Self-Taught,10,None,market analysis,Product Manager
"algorithms, c++, java, data structures, git","coding, optimizing performance",PhD,4,Certified,algorithm visualizer,Software Engineer
"html, javascript, node.js","building websites, backend systems, frontend development, ui design",PhD,6,None,e-commerce site,Web Developer
"user research, prototyping, wireframing","user testing, user interface, design capability",PhD,8,Certified,mobile app design,UX Designer
"java, data structures, git","backend logic, optimizing performance, software architecture, coding",Master,5,In Progress,desktop application,Software Engineer
"pandas, machine learning, numpy","ai research, solving complex problems",PhD,4,None,customer churn prediction,Data Scientist
"databases, node.js, css","backend systems, frontend development, building websites",Master,6,In Progress,chat application,Web Developer
"analytics, agile, roadmapping, market research, communication, scrum","user experience, product strategy",Master,7,In Progress,product launch,Product Manager
"react, html, databases","ui design, building websites",Master,1,Certified,chat application,Web Developer
"numpy, pandas, deep learning, machine learning, python, statistics, sql","analyzing data, solving complex problems, building models, ai research",Master,7,Certified,image classification,Data Scientist
"data structures, system design, git, java, c++, python, algorithms","optimizing performance, coding, backend logic, software architecture",Bachelor,0,None,desktop application,Software Engineer
"python, pandas, numpy, statistics","building models, solving complex problems",Master,5,In Progress,sentiment analysis,Data Scientist
"java, git, c++, python, algorithms, data structures, system design","optimizing performance, backend logic, software architecture",Self-Taught,0,In Progress,scalable system,Software Engineer
"react, api, databases, css, javascript, html, node.js","building websites, backend systems, frontend development",PhD,9,In Progress,e-commerce site,Web Developer
"sketch, wireframing, figma, adobe xd","user interface, design capability, user testing",Self-Taught,1,None,mobile app design,UX Designer
"data structures, java, git, algorithms, system design, python","coding, backend logic",PhD,5,In Progress,algorithm visualizer,Software Engineer
"analytics, agile, scrum, market research, communication, roadmapping","product strategy, leading teams, business growth, user experience",Master,6,Certified,user research,Product Manager
"user research, adobe xd, wireframing","user interface, visual design, user testing, design capability",Bachelor,0,Certified,mobile app design,UX Designer
"scrum, agile, analytics, market research","user experience, business growth, product strategy, leading teams",PhD,9,None,market analysis,Product Manager
"javascript, node.js, api, react, css, databases","backend systems, frontend development",PhD,6,None,chat application,Web Developer
"user research, prototyping, wireframing","visual design, design capability, user interface",Self-Taught,7,In Progress,user flow diagram,UX Designer
"python, pandas, machine learning, deep learning, nlp, numpy, statistics, sql","analyzing data, building models, solving complex problems",Self-Taught,4,Certified,customer churn prediction,Data Scientist
"css, html, databases, javascript, react, api, node.js","backend systems, frontend development, building websites",Self-Taught,6,Certified,chat application,Web Developer
"python, java, system design, data structures, c++","software architecture, backend logic, coding",PhD,3,In Progress,algorithm visualizer,Software Engineer
"c++, system design, algorithms","software architecture, backend logic",PhD,0,In Progress,scalable system,Software Engineer
"java, data structures, system design","coding, software architecture, backend logic",Master,1,Certified,desktop application,Software Engineer
"sql, deep learning, pandas, numpy, python, machine learning, nlp","ai research, building models",Bachelor,8,Certified,image classification,Data Scientist
"databases, css, html, react, api","building websites, frontend development, ui design, backend systems",Self-Taught,1,None,chat application,Web Developer
"deep learning, statistics, sql, python, pandas, numpy, machine learning","analyzing data, solving complex problems, building models",Master,5,Certified,image classification,Data Scientist
"agile, scrum, roadmapping","leading teams, business growth, user experience, product strategy",Self-Taught,6,None,product launch,Product Manager
"sql, machine learning, numpy, statistics, python","solving complex problems, analyzing data, building models, ai research",Bachelor,0,None,sentiment analysis,Data Scientist
"deep learning, numpy, machine learning, statistics","solving complex problems, building models",Self-Taught,4,In Progress,customer churn prediction,Data Scientist
"sql, numpy, machine learning, deep learning, statistics, python, pandas","ai research, analyzing data, solving complex problems, building models",Self-Taught,0,Certified,sentiment analysis,Data Scientist
"market research, roadmapping, communication","leading teams, product strategy, user experience, business growth",Master,7,In Progress,user research,Product Manager
"java, data structures, c++, system design, algorithms, git, python","software architecture, optimizing performance",Self-Taught,5,In Progress,desktop application,Software Engineer
"c++, system design, algorithms, python","coding, software architecture, optimizing performance",Self-Taught,10,Certified,algorithm visualizer,Software Engineer
"figma, adobe xd, sketch, wireframing, user research, prototyping","design capability, user testing, user interface",Bachelor,9,In Progress,website redesign,UX Designer
"agile, analytics, roadmapping, communication, scrum","user experience, business growth",Bachelor,4,None,user research,Product Manager
"deep learning, numpy, pandas, python, statistics, nlp","solving complex problems, building models",Master,10,None,customer churn prediction,Data Scientist
"react, api, html, databases, node.js, javascript","frontend development, backend systems, ui design",Self-Taught,4,In Progress,chat application,Web Developer
"scrum, agile, roadmapping, communication, market research, analytics","business growth, user experience, leading teams, product strategy",Bachelor,5,Certified,product launch,Product Manager
"wireframing, sketch, prototyping, user research, adobe xd, figma","user interface, design capability, visual design",Master,9,Certified,website redesign,UX Designer
"css, databases, javascript, react","ui design, building websites, frontend development",Bachelor,0,In Progress,e-commerce site,Web Developer
"wireframing, adobe xd, figma","visual design, design capability, user interface",Self-Taught,2,In Progress,mobile app design,UX Designer
"python, statistics, sql","building models, analyzing data, ai research, solving complex problems",Master,0,In Progress,sentiment analysis,Data Scientist
"nlp, python, sql, numpy, statistics, machine learning, deep learning, pandas","analyzing data, ai research, building models, solving complex problems",Master,0,In Progress,customer churn prediction,Data Scientist
"sql, nlp, pandas, machine learning, statistics, deep learning, numpy, python","building models, analyzing data",Bachelor,3,In Progress,sentiment analysis,Data Scientist
"sketch, adobe xd, figma, prototyping, wireframing","user testing, design capability",Master,3,In Progress,mobile app design,UX Designer
"communication, agile, market research, scrum","user experience, business growth, leading teams",PhD,0,In Progress,user research,Product Manager
"html, databases, api, css, node.js","backend systems, frontend development",Bachelor,7,In Progress,chat application,Web Developer
"sql, python, deep learning, nlp","ai research, building models",Master,7,Certified,sentiment analysis,Data Scientist
"roadmapping, market research, scrum, analytics","product strategy, leading teams, business growth",PhD,9,None,market analysis,Product Manager
"wireframing, prototyping, sketch, user research","design capability, user interface, user testing, visual design",Self-Taught,0,Certified,user flow diagram,UX Designer
"api, node.js, react, javascript, css","frontend development, backend systems, building websites, ui design",Self-Taught,8,None,portfolio website,Web Developer
"data structures, system design, java, git, algorithms, c++","optimizing performance, coding, software architecture, backend logic",PhD,8,Certified,scalable system,Software Engineer
"adobe xd, user research, sketch, prototyping","design capability, visual design",PhD,0,None,website redesign,UX Designer
"node.js, html, javascript","ui design, frontend development, backend systems",Master,10,Certified,e-commerce site,Web Developer
"sketch, figma, prototyping","user testing, visual design",Self-Taught,2,None,website redesign,UX Designer
"git, python, system design, c++","coding, software architecture, backend logic",Self-Taught,7,None,desktop application,Software Engineer
"analytics, communication, agile, market research, scrum","user experience, leading teams, business growth, product strategy",Self-Taught,0,None,market analysis,Product Manager
"react, api, databases, css, javascript","ui design, frontend development",PhD,0,Certified,chat application,Web Developer
"javascript, api, databases, css, react, html, node.js","frontend development, backend systems",Self-Taught,1,Certified,e-commerce site,Web Developer
"scrum, market research, communication, roadmapping, analytics, agile","user experience, product strategy, business growth",PhD,2,In Progress,product launch,Product Manager
"sql, numpy, statistics","ai research, solving complex problems, building models, analyzing data",Master,8,Certified,image classification,Data Scientist
"deep learning, sql, statistics","ai research, building models, solving complex problems, analyzing data",Bachelor,0,None,sentiment analysis,Data Scientist
"user research, prototyping, adobe xd","user interface, design capability",Master,1,None,website redesign,UX Designer
"nlp, statistics, pandas, deep learning, python, machine learning, numpy","analyzing data, building models, ai research, solving complex problems",Master,3,None,sentiment analysis,Data Scientist
"roadmapping, analytics, scrum, agile","user experience, business growth",Self-Taught,4,In Progress,market analysis,Product Manager
"css, react, javascript, api, html","frontend development, building websites, ui design, backend systems",Master,2,Certified,e-commerce site,Web Developer
"figma, prototyping, wireframing, adobe xd, sketch, user research","visual design, user testing",PhD,2,None,mobile app design,UX Designer
"user research, wireframing, sketch","user interface, visual design, design capability, user testing",Self-Taught,0,None,website redesign,UX Designer
"sketch, adobe xd, user research","design capability, user interface, user testing",PhD,4,None,website redesign,UX Designer
"agile, market research, communication, scrum, analytics, roadmapping","business growth, leading teams, product strategy, user experience",Bachelor,3,Certified,market analysis,Product Manager
"scrum, roadmapping, analytics, market research","product strategy, user experience, leading teams",Self-Taught,5,In Progress,market analysis,Product Manager
"user research, adobe xd, prototyping, sketch, wireframing","visual design, design capability, user interface, user testing",Master,4,None,user flow diagram,UX Designer
"sql, machine learning, deep learning","analyzing data, building models, solving complex problems, ai research",Master,6,None,customer churn prediction,Data Scientist
"java, git, system design","coding, backend logic, software architecture, optimizing performance",Bachelor,10,In Progress,scalable system,Software Engineer
"prototyping, figma, adobe xd","user interface, visual design, design capability, user testing",Self-Taught,0,In Progress,website redesign,UX Designer
"python, system design, algorithms, c++, java","coding, backend logic, optimizing performance, software architecture",PhD,5,None,desktop application,Software Engineer
"c++, algorithms, java, python","backend logic, optimizing performance",Bachelor,1,None,scalable system,Software Engineer
"machine learning, statistics, sql, numpy, pandas, nlp, deep learning, python","ai research, analyzing data",PhD,10,None,image classification,Data Scientist
"nlp, python, pandas, deep learning, sql","analyzing data, building models",Master,8,In Progress,sentiment analysis,Data Scientist
"javascript, api, react, databases, css, node.js","frontend development, ui design",PhD,3,None,e-commerce site,Web Developer
"python, system design, git, algorithms, java, c++, data structures","optimizing performance, software architecture, backend logic",PhD,10,None,scalable system,Software Engineer
"javascript, react, css, api, node.js, html, databases","frontend development, building websites, backend systems",Bachelor,9,None,portfolio website,Web Developer
"html, javascript, databases, api, css, node.js, react","frontend development, building websites, ui design",Bachelor,8,In Progress,e-commerce site,Web Developer
"agile, scrum, analytics, roadmapping, market research, communication","user experience, leading teams",Bachelor,0,In Progress,product launch,Product Manager
"html, node.js, react","backend systems, building websites, ui design",Bachelor,8,In Progress,e-commerce site,Web Developer
"statistics, sql, pandas","ai research, solving complex problems, analyzing data, building models",Self-Taught,10,Certified,sentiment analysis,Data Scientist
"databases, api, css, node.js, html, javascript","ui design, frontend development, backend systems",Bachelor,2,In Progress,chat application,Web Developer
"html, css, databases, javascript","building websites, frontend development, ui design",Master,6,Certified,chat application,Web Developer
"html, api, node.js, react","backend systems, ui design, building websites, frontend development",PhD,9,None,portfolio website,Web Developer
"scrum, communication, market research, analytics, roadmapping","user experience, leading teams, business growth",PhD,0,In Progress,user research,Product Manager
"scrum, analytics, agile","leading teams, business growth, user experience",PhD,7,In Progress,user research,Product Manager
"c++, system design, data structures","optimizing performance, backend logic",PhD,8,Certified,algorithm visualizer,Software Engineer
"api, react, html","ui design, backend systems, frontend development",Bachelor,1,Certified,portfolio website,Web Developer
"roadmapping, analytics, agile","business growth, leading teams, product strategy",PhD,3,None,product launch,Product Manager
"numpy, statistics, sql, pandas, deep learning","building models, ai research",Bachelor,2,In Progress,image classification,Data Scientist
"pandas, numpy, python, machine learning, sql","analyzing data, ai research, solving complex problems, building models",Self-Taught,7,In Progress,customer churn prediction,Data Scientist
"analytics, roadmapping, scrum, communication, agile","user experience, product strategy, business growth",Self-Taught,9,In Progress,product launch,Product Manager
"communication, scrum, agile","product strategy, user experience",Self-Taught,1,Certified,product launch,Product Manager
"figma, user research, prototyping","visual design, user interface",Bachelor,3,Certified,website redesign,UX Designer
"scrum, communication, agile, analytics, roadmapping","leading teams, user experience, product strategy",PhD,4,None,product launch,Product Manager
"numpy, sql, machine learning, deep learning, statistics, python, pandas","solving complex problems, analyzing data, ai research, building models",PhD,6,None,customer churn prediction,Data Scientist
"system design, algorithms, java, python, git, c++","backend logic, coding",Self-Taught,4,Certified,algorithm visualizer,Software Engineer
"adobe xd, wireframing, sketch","design capability, user testing, visual design, user interface",PhD,8,None,user flow diagram,UX Designer
"javascript, node.js, databases, react, api, html","frontend development, building websites, ui design",PhD,6,In Progress,e-commerce site,Web Developer
"c++, system design, python","coding, backend logic, optimizing performance, software architecture",PhD,8,None,desktop application,Software Engineer
"numpy, sql, deep learning, statistics, machine learning","ai research, analyzing data, building models",Self-Taught,5,Certified,sentiment analysis,Data Scientist
"adobe xd, prototyping, figma, user research","visual design, user interface, user testing",Self-Taught,9,In Progress,user flow diagram,UX Designer
"java, python, data structures, c++","coding, backend logic",PhD,4,In Progress,desktop application,Software Engineer
"prototyping, user research, wireframing, figma","design capability, visual design",Bachelor,1,In Progress,website redesign,UX Designer
"communication, scrum, roadmapping, analytics","product strategy, leading teams, business growth, user experience",Bachelor,3,In Progress,market analysis,Product Manager
"sql, numpy, deep learning, nlp, python, pandas, statistics","building models, ai research, analyzing data",Self-Taught,3,Certified,image classification,Data Scientist
"pandas, statistics, machine learning, sql, deep learning, nlp, python, numpy","solving complex problems, analyzing data",Self-Taught,7,Certified,customer churn prediction,Data Scientist
"pandas, numpy, sql, python","analyzing data, ai research, building models, solving complex problems",Bachelor,6,Certified,sentiment analysis,Data Scientist
"databases, css, html, javascript, api, node.js, react","ui design, frontend development, backend systems, building websites",Master,10,Certified,chat application,Web Developer
"user research, wireframing, sketch, adobe xd, figma, prototyping","design capability, user testing, visual design",Bachelor,4,Certified,website redesign,UX Designer
"api, node.js, html, css, databases, react, javascript","frontend development, backend systems",Bachelor,9,In Progress,portfolio website,Web Developer
"react, javascript, node.js, css","building websites, backend systems, frontend development, ui design",PhD,10,Certified,e-commerce site,Web Developer
"api, html, databases, node.js, react","ui design, backend systems, building websites, frontend development",Bachelor,5,None,chat application,Web Developer
"agile, roadmapping, market research, scrum","user experience, business growth, leading teams, product strategy",Bachelor,4,In Progress,market analysis,Product Manager
"sql, nlp, python, deep learning","building models, analyzing data",PhD,5,None,sentiment analysis,Data Scientist
"data structures, git, java","optimizing performance, backend logic",Bachelor,10,Certified,scalable system,Software Engineer
"wireframing, sketch, adobe xd, figma","user interface, user testing, design capability, visual design",PhD,2,Certified,user flow diagram,UX Designer
"java, python, data structures, c++, algorithms, system design","backend logic, coding, optimizing performance, software architecture",Self-Taught,10,Certified,desktop application,Software Engineer
"agile, scrum, market research","product strategy, business growth, leading teams",PhD,6,In Progress,market analysis,Product Manager
"node.js, databases, api, html","ui design, building websites, frontend development",PhD,10,In Progress,chat application,Web Developer
"nlp, statistics, pandas, numpy, sql","building models, ai research, analyzing data",Bachelor,8,Certified,image classification,Data Scientist
"node.js, react, databases, javascript","ui design, building websites, backend systems",PhD,2,In Progress,e-commerce site,Web Developer
"pandas, numpy, nlp, deep learning, statistics, sql, machine learning","ai research, building models",Self-Taught,7,None,sentiment analysis,Data Scientist
"javascript, react, node.js, databases, api","ui design, building websites, frontend development, backend systems",Master,9,In Progress,portfolio website,Web Developer
"user research, prototyping, sketch, figma, wireframing, adobe xd","user interface, visual design, design capability",PhD,6,None,mobile app design,UX Designer
"sql, machine learning, pandas, deep learning","solving complex problems, building models, analyzing data, ai research",Master,4,Certified,image classification,Data Scientist
"sketch, prototyping, user research, adobe xd, figma","user interface, visual design, design capability",PhD,4,None,website redesign,UX Designer
"sketch, prototyping, adobe xd, wireframing, user research","user testing, design capability, visual design",Master,1,In Progress,user flow diagram,UX Designer
"system design, java, git","optimizing performance, coding, backend logic",Bachelor,5,Certified,algorithm visualizer,Software Engineer
"market research, analytics, communication","leading teams, business growth, user experience, product strategy",Bachelor,4,None,user research,Product Manager
"html, css, react, api, databases, javascript, node.js","ui design, frontend development, backend systems",Master,0,None,portfolio website,Web Developer
"agile, roadmapping, market research, analytics","user experience, business growth",Master,4,None,user research,Product Manager
"data structures, algorithms, system design, java","optimizing performance, backend logic, coding",PhD,5,Certified,desktop application,Software Engineer
"market research, analytics, roadmapping, scrum, agile, communication","user experience, business growth, product strategy",Self-Taught,4,Certified,user research,Product Manager
"api, react, javascript, html, css, databases","ui design, building websites",Self-Taught,1,Certified,e-commerce site,Web Developer
"communication, agile, scrum","business growth, product strategy",Bachelor,3,In Progress,market analysis,Product Manager
"node.js, html, api, databases","building websites, backend systems",Master,8,None,e-commerce site,Web Developer
"market research, scrum, communication, roadmapping, agile","product strategy, business growth, user experience, leading teams",Master,4,In Progress,product launch,Product Manager
"system design, data structures, c++, algorithms, git","software architecture, optimizing performance, coding, backend logic",Bachelor,9,In Progress,algorithm visualizer,Software Engineer
"api, css, javascript, react","building websites, frontend development, backend systems",Master,3,In Progress,chat application,Web Developer
"agile, communication, scrum","business growth, product strategy",Bachelor,2,None,market analysis,Product Manager
"adobe xd, wireframing, sketch, user research","user interface, user testing, design capability, visual design",Self-Taught,2,In Progress,website redesign,UX Designer
"javascript, api, css, node.js","building websites, ui design, backend systems, frontend development",PhD,7,None,portfolio website,Web Developer
"roadmapping, market research, agile, scrum","user experience, product strategy, business growth, leading teams",Master,4,None,market analysis,Product Manager
"algorithms, c++, git, system design, python","backend logic, optimizing performance",Self-Taught,8,None,desktop application,Software Engineer
"sketch, user research, wireframing, figma, adobe xd, prototyping","visual design, user interface, design capability",Master,2,Certified,website redesign,UX Designer
"scrum, market research, analytics","user experience, business growth, leading teams",Self-Taught,1,In Progress,product launch,Product Manager
"javascript, html, node.js","backend systems, ui design",PhD,8,Certified,portfolio website,Web Developer
"git, system design, data structures, c++, java, python, algorithms","optimizing performance, backend logic, software architecture",Master,2,None,algorithm visualizer,Software Engineer
"html, react, javascript, databases, node.js, api","backend systems, ui design, building websites",Bachelor,3,None,e-commerce site,Web Developer
"databases, css, html, node.js, api","frontend development, ui design",Bachelor,7,In Progress,chat application,Web Developer
"deep learning, pandas, numpy, machine learning","solving complex problems, ai research, analyzing data",Master,7,In Progress,sentiment analysis,Data Scientist
"nlp, pandas, python","analyzing data, building models, solving complex problems",Self-Taught,1,None,image classification,Data Scientist
"c++, python, git, java, algorithms, system design, data structures","coding, optimizing performance, software architecture, backend logic",Self-Taught,4,Certified,algorithm visualizer,Software Engineer
"figma, wireframing, user research, adobe xd, prototyping","visual design, user interface, user testing",PhD,4,None,website redesign,UX Designer
"git, c++, algorithms, python, java, data structures","software architecture, coding",PhD,7,Certified,scalable system,Software Engineer
"sketch, wireframing, figma","user interface, user testing",PhD,3,In Progress,mobile app design,UX Designer
"roadmapping, agile, communication, market research, analytics","user experience, business growth",Bachelor,1,Certified,market analysis,Product Manager
